标记点（置信度）,标记点,x坐标,y坐标,,
lower_leg 0.86,lower_leg ,1751.5,2230,,
joint 0.91,joint ,1901.5,1268,,
upper_leg 0.92,upper_leg ,1742,409.5,,
lower_leg 0.88,lower_leg ,1814,2195.5,,
upper_leg 0.90,upper_leg ,1787,409,,
joint 0.90,joint ,2001.5,1255.5,,
lower_leg 0.88,lower_leg ,1814,2195.5,,
upper_leg 0.90,upper_leg ,1787,409.5,,
joint 0.90,joint ,2001.5,1255.5,,
lower_leg 0.89,lower_leg ,2090.5,2145.5,,
joint 0.90,joint ,2212.5,1190.5,,
upper_leg 0.91,upper_leg ,1920.5,389.5,,
upper_leg 0.88,upper_leg ,1953,379.5,,
lower_leg 0.89,lower_leg ,2262.5,2117,,
joint 0.91,joint ,2280,1160,,
upper_leg 0.91,upper_leg ,2003,365,,
lower_leg 0.91,lower_leg ,2429.5,2070.5,,
joint 0.92,joint ,2373.5,1126,,
lower_leg 0.89,lower_leg ,2564,2034.5,,
joint 0.90,joint ,2460.5,1087,,
upper_leg 0.90,upper_leg ,2064,348,,
lower_leg 0.89,lower_leg ,2564,2034.5,,
joint 0.89,joint ,2460.5,1087,,
upper_leg 0.90,upper_leg ,2064,348,,
lower_leg 0.89,lower_leg ,2740.5,1992,,
joint 0.90,joint ,2565.5,1060.5,,
upper_leg 0.92,upper_leg ,2131.5,340.5,,
joint 0.90,joint ,2620,1041.5,,
lower_leg 0.90,lower_leg ,2822,1969,,
upper_leg 0.91,upper_leg ,2164,337.5,,
joint 0.90,joint ,2620,1041.5,,
lower_leg 0.90,lower_leg ,2822,1969,,
upper_leg 0.91,upper_leg ,2164,337.5,,
lower_leg 0.87,lower_leg ,2969,1915.5,,
joint 0.90,joint ,2715.5,1001.5,,
upper_leg 0.91,upper_leg ,2231,318,,
joint 0.89,joint ,2748.5,982.5,,
upper_leg 0.90,upper_leg ,2253,303.5,,
lower_leg 0.90,lower_leg ,3030,1890.5,,
joint 0.89,joint ,2748.5,982.5,,
upper_leg 0.90,upper_leg ,2253,303.5,,
lower_leg 0.90,lower_leg ,3030,1890.5,,
joint 0.90,joint ,2803,948.5,,
lower_leg 0.90,lower_leg ,3129,1837.5,,
upper_leg 0.91,upper_leg ,2286,285.5,,
lower_leg 0.87,lower_leg ,3170.5,1817,,
upper_leg 0.90,upper_leg ,2304.5,270,,
joint 0.90,joint ,2828,930.5,,
lower_leg 0.87,lower_leg ,3209.5,1795,,
joint 0.89,joint ,2843.5,915.5,,
upper_leg 0.91,upper_leg ,2317,262.5,,
lower_leg 0.87,lower_leg ,3209.5,1794,,
